# x_m, y_m, w_tr_left_m, w_tr_right_m
-1.500000000000000000e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.475000000000000089e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.449999999999999956e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.425000000000000044e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.399999999999999911e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.375000000000000000e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.350000000000000089e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.324999999999999956e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.300000000000000044e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.274999999999999911e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.250000000000000000e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.225000000000000089e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.199999999999999956e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.175000000000000044e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.149999999999999911e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.125000000000000000e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.100000000000000089e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.074999999999999956e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.050000000000000044e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.024999999999999911e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-1.000000000000000000e+00,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-9.749999999999999778e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-9.499999999999999556e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-9.249999999999999334e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-8.999999999999999112e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-8.750000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-8.499999999999999778e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-8.249999999999999556e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-7.999999999999999334e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-7.749999999999999112e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-7.500000000000000000e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-7.249999999999999778e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-6.999999999999999556e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-6.749999999999999334e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
-6.499999999999999112e-01,1.899999999999999911e+00,5.999999999999999778e-01,5.999999999999999778e-01
